"x","y"
-2,0.246049497556191
-1.9999,0.241997330013035
-1.9998,0.237947995268129
-1.9997,0.233901556606291
-1.9996,0.229858077213831
-1.9995,0.225817620177585
-1.9994,0.221780248484002
-1.9993,0.217746025018187
-1.9992,0.213715012562991
-1.9991,0.209687273798065
-1.999,0.205662871298951
-1.9989,0.201641867536139
-1.9988,0.197624324874188
-1.9987,0.19361030557076
-1.9986,0.189599871775736
-1.9985,0.185593085530309
-1.9984,0.181590008766068
-1.9983,0.177590703304092
-1.9982,0.173595230854066
-1.9981,0.169603653013363
-1.998,0.165616031266172
-1.9979,0.161632426982589
-1.9978,0.157652901417746
-1.9977,0.153677515710911
-1.9976,0.149706330884623
-1.9975,0.145739407843795
-1.9974,0.141776807374867
-1.9973,0.137818590144903
-1.9972,0.133864816700757
-1.9971,0.12991554746818
-1.997,0.12597084275097
-1.9969,0.122030762730109
-1.9968,0.118095367462942
-1.9967,0.114164716882263
-1.9966,0.110238870795516
-1.9965,0.106317888883936
-1.9964,0.102401830701703
-1.9963,0.0984907556751154
-1.9962,0.0945847231017362
-1.9961,0.0906837921495868
-1.996,0.0867880218562962
-1.9959,0.082897471128294
-1.9958,0.0790121987399724
-1.9957,0.0751322633328853
-1.9956,0.0712577234149237
-1.9955,0.0673886373595086
-1.9954,0.0635250634047755
-1.9953,0.0596670596527824
-1.9952,0.0558146840687068
-1.9951,0.0519679944800369
-1.995,0.0481270485757936
-1.9949,0.0442919039057169
-1.9948,0.0404626178795264
-1.9947,0.0366392477660801
-1.9946,0.032821850692625
-1.9945,0.0290104836440212
-1.9944,0.0252052034619614
-1.9943,0.0214060668442021
-1.9942,0.017613130343804
-1.9941,0.0138264503683629
-1.994,0.0100460831792544
-1.9939,0.00627208489087849
-1.9938,0.00250451146990049
-1.9937,-0.00125658126548633
-1.9936,-0.00501113764630973
-1.9935,-0.00875910215355907
-1.9934,-0.012500419418933
-1.9933,-0.0162350342255573
-1.9932,-0.0199628915087185
-1.9931,-0.0236839363566101
-1.993,-0.0273981140110239
-1.9929,-0.0311053698681052
-1.9928,-0.0348056494790261
-1.9927,-0.0384988985507416
-1.9926,-0.0421850629466747
-1.9925,-0.0458640886874284
-1.9924,-0.0495359219514778
-1.9923,-0.0532005090758846
-1.9922,-0.0568577965569749
-1.9921,-0.060507731051046
-1.992,-0.064150259375035
-1.9919,-0.0677853285072239
-1.9918,-0.0714128855878974
-1.9917,-0.0750328779200353
-1.9916,-0.0786452529699813
-1.9915,-0.0822499583681057
-1.9914,-0.085846941909477
-1.9913,-0.0894361515545202
-1.9912,-0.0930175354296745
-1.9911,-0.0965910418280537
-1.991,-0.100156619210087
-1.9909,-0.103714216204176
-1.9908,-0.107263781607315
-1.9907,-0.110805264385764
-1.9906,-0.114338613675664
-1.9905,-0.117863778783673
-1.9904,-0.121380709187587
-1.9903,-0.124889354536981
-1.9902,-0.128389664653808
-1.9901,-0.131881589533038
-1.99,-0.135365079343256
-1.9899,-0.138840084427275
-1.9898,-0.142306555302744
-1.9897,-0.145764442662754
-1.9896,-0.149213697376421
-1.9895,-0.152654270489503
-1.9894,-0.156086113224972
-1.9893,-0.159509176983602
-1.9892,-0.16292341334457
-1.9891,-0.166328774066013
-1.989,-0.16972521108562
-1.9889,-0.173112676521202
-1.9888,-0.176491122671231
-1.9887,-0.179860502015457
-1.9886,-0.183220767215432
-1.9885,-0.186571871115071
-1.9884,-0.189913766741213
-1.9883,-0.193246407304164
-1.9882,-0.196569746198248
-1.9881,-0.199883737002346
-1.988,-0.20318833348043
-1.9879,-0.206483489582096
-1.9878,-0.209769159443113
-1.9877,-0.213045297385915
-1.9876,-0.216311857920159
-1.9875,-0.219568795743222
-1.9874,-0.22281606574072
-1.9873,-0.226053622987026
-1.9872,-0.229281422745764
-1.9871,-0.232499420470331
-1.987,-0.235707571804377
-1.9869,-0.238905832582325
-1.9868,-0.242094158829822
-1.9867,-0.245272506764272
-1.9866,-0.248440832795303
-1.9865,-0.251599093525241
-1.9864,-0.254747245749588
-1.9863,-0.257885246457506
-1.9862,-0.261013052832273
-1.9861,-0.264130622251759
-1.986,-0.267237912288877
-1.9859,-0.270334880712049
-1.9858,-0.273421485485653
-1.9857,-0.276497684770479
-1.9856,-0.279563436924169
-1.9855,-0.282618700501669
-1.9854,-0.285663434255652
-1.9853,-0.288697597136967
-1.9852,-0.291721148295056
-1.9851,-0.2947340470784
-1.985,-0.29773625303492
-1.9849,-0.300727725912413
-1.9848,-0.303708425658958
-1.9847,-0.306678312423324
-1.9846,-0.309637346555389
-1.9845,-0.312585488606543
-1.9844,-0.315522699330075
-1.9843,-0.318448939681581
-1.9842,-0.321364170819351
-1.9841,-0.324268354104761
-1.984,-0.327161451102649
-1.9839,-0.33004342358171
-1.9838,-0.332914233514855
-1.9837,-0.335773843079602
-1.9836,-0.33862221465843
-1.9835,-0.341459310839155
-1.9834,-0.344285094415286
-1.9833,-0.347099528386382
-1.9832,-0.349902575958409
-1.9831,-0.352694200544089
-1.983,-0.355474365763244
-1.9829,-0.358243035443138
-1.9828,-0.361000173618826
-1.9827,-0.363745744533463
-1.9826,-0.366479712638665
-1.9825,-0.369202042594817
-1.9824,-0.371912699271405
-1.9823,-0.374611647747327
-1.9822,-0.377298853311215
-1.9821,-0.379974281461741
-1.982,-0.382637897907936
-1.9819,-0.385289668569477
-1.9818,-0.387929559577001
-1.9817,-0.390557537272395
-1.9816,-0.393173568209093
-1.9815,-0.395777619152356
-1.9814,-0.398369657079565
-1.9813,-0.400949649180501
-1.9812,-0.403517562857617
-1.9811,-0.406073365726314
-1.981,-0.40861702561522
-1.9809,-0.411148510566436
-1.9808,-0.413667788835824
-1.9807,-0.416174828893223
-1.9806,-0.41866959942276
-1.9805,-0.421152069323053
-1.9804,-0.423622207707489
-1.9803,-0.426079983904439
-1.9802,-0.428525367457529
-1.9801,-0.430958328125842
-1.98,-0.433378835884178
-1.9799,-0.435786860923266
-1.9798,-0.438182373649989
-1.9797,-0.440565344687614
-1.9796,-0.442935744875994
-1.9795,-0.445293545271796
-1.9794,-0.447638717148698
-1.9793,-0.449971231997598
-1.9792,-0.452291061526821
-1.9791,-0.454598177662307
-1.979,-0.456892552547815
-1.9789,-0.459174158545103
-1.9788,-0.461442968234126
-1.9787,-0.463698954413199
-1.9786,-0.465942090099203
-1.9785,-0.468172348527742
-1.9784,-0.47038970315332
-1.9783,-0.472594127649502
-1.9782,-0.474785595909092
-1.9781,-0.476964082044278
-1.978,-0.479129560386801
-1.9779,-0.481282005488102
-1.9778,-0.483421392119466
-1.9777,-0.485547695272179
-1.9776,-0.487660890157664
-1.9775,-0.489760952207616
-1.9774,-0.491847857074145
-1.9773,-0.493921580629892
-1.9772,-0.495982098968175
-1.9771,-0.498029388403096
-1.977,-0.500063425469668
-1.9769,-0.502084186923936
-1.9768,-0.504091649743083
-1.9767,-0.506085791125525
